category,count,key_columns,payload_columns,col_width,init,scatter,sort,reorder,merge_key,merge_payload,gather,total
col,1024,3,32,4,127723,0,188747,144850,49298,278534,0,789597
row,1024,3,32,4,110076,228288,160558,36020,44860,149297,115513,844953
row_norm,1024,3,32,4,109915,232190,152891,35752,52170,155277,109074,847562
col,1024,3,32,4,109878,0,189435,94532,49578,266136,0,709891
row,1024,3,32,4,109507,226688,159941,35807,44430,123464,109036,809223
row_norm,1024,3,32,4,109700,228455,151694,35682,51831,121478,108398,807527
col,1024,3,32,4,109725,0,187345,91110,48437,258632,0,695536
row,1024,3,32,4,109347,226588,158421,35598,43297,122583,123439,819593
row_norm,1024,3,32,4,109499,227393,147489,35657,52037,123406,108491,804274
col,1024,3,32,4,109772,0,186287,92024,48628,264276,0,701300
row,1024,3,32,4,109432,226770,158600,35649,44417,121450,108657,805260
row_norm,1024,3,32,4,109462,227672,152607,36053,51805,132027,108844,818806
col,1024,3,32,4,109428,0,188649,90880,49212,266676,0,705194
row,1024,3,32,4,122677,226250,158759,35770,44765,121085,108655,818276
row_norm,1024,3,32,4,109644,227459,151397,35493,51769,122652,108324,806978
